"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"DYNLT1",-0.0222670395759366,11.3791847371976,-0.0789005324716998,0.937479192750854,0.996863708343732,-5.05560223079415,FALSE,FALSE,FALSE,"DYNLT1",FALSE
"PADI1",-0.0116366371493995,7.31887243672591,-0.0786202657367621,0.937700807543493,0.996863708343732,-5.05561585822629,FALSE,FALSE,FALSE,"PADI1",FALSE
"PHF10",0.025052942896497,9.16996032808371,0.078603203508202,0.937714299289191,0.996863708343732,-5.05561668627909,FALSE,FALSE,FALSE,"PHF10",FALSE
"CRYBB2",-0.0270558179247782,7.19584371433159,-0.0784801594575587,0.937811595394684,0.996863708343732,-5.05562265245244,FALSE,FALSE,FALSE,"CRYBB2",FALSE
"UBE2E3",-0.0234184132605317,11.406228305071,-0.0784077233518616,0.937868874119431,0.996863708343732,-5.05562616037317,FALSE,FALSE,FALSE,"UBE2E3",FALSE
"SPG7",0.015599452360926,7.54458203612246,0.0783694331990952,0.937899152125717,0.996863708343732,-5.05562801337258,FALSE,FALSE,FALSE,"SPG7",FALSE
"EEF1E1",-0.0259587615694036,7.89706169422118,-0.0782713763237418,0.937976691197778,0.996863708343732,-5.05563275457522,FALSE,FALSE,FALSE,"EEF1E1",FALSE
"MAP3K14",0.0168338165893174,7.5927283795921,0.078098791902274,0.938113164859893,0.996863708343732,-5.05564108488867,FALSE,FALSE,FALSE,"MAP3K14",FALSE
"P4HTM",-0.0260831594401732,10.591509530385,-0.0780491940467721,0.938152385439808,0.996863708343732,-5.05564347548023,FALSE,FALSE,FALSE,"P4HTM",FALSE
"UTP6",0.00948597814426932,7.12574010681227,0.0778910824890569,0.938277416619693,0.996863708343732,-5.05565108624398,FALSE,FALSE,FALSE,"UTP6",FALSE
"PIN1",0.0253335847645936,8.01605930763128,0.0778660636883205,0.938297201087454,0.996863708343732,-5.05565228912036,FALSE,FALSE,FALSE,"PIN1",FALSE
"RANBP3",0.0148863897335465,7.93228374888631,0.0778581071588793,0.938303492992037,0.996863708343732,-5.05565267158058,FALSE,FALSE,FALSE,"RANBP3",FALSE
"ST3GAL5",0.0212497405406401,8.42369650482905,0.0774526862794922,0.938624099035029,0.996863708343732,-5.05567210793307,FALSE,FALSE,FALSE,"ST3GAL5",FALSE
"CHRDL1",0.0487055473612506,7.22997606890258,0.0773765672506921,0.938684294965185,0.996863708343732,-5.0556757458586,FALSE,FALSE,FALSE,"CHRDL1",FALSE
"KHSRP",-0.0123278611224566,8.23444969065305,-0.0770640229717101,0.938931462894886,0.996863708343732,-5.05569064567709,FALSE,FALSE,FALSE,"KHSRP",FALSE
"ALPG",0.0192376181215812,7.56783683630582,0.0766575491815874,0.939252921769289,0.996863708343732,-5.05570993318513,FALSE,FALSE,FALSE,"ALPG",FALSE
"COL6A3",0.0476679210431548,11.9650432445081,0.0765691957387287,0.939322797246931,0.996863708343732,-5.05571411213678,FALSE,FALSE,FALSE,"COL6A3",FALSE
"MYL5",0.0233464876377457,8.06721800271374,0.076350962613919,0.939495391844023,0.996863708343732,-5.05572441350796,FALSE,FALSE,FALSE,"MYL5",FALSE
