"Gene","log2FoldChange","pvalue","padj"
"ENSG00000268903",-0.636833814343935,0.30047344391309,0.999975617694874
"ENSG00000269981",-1.00623779675582,0.110070961212851,0.999975617694874
"ENSG00000241860",-0.85701456921565,0.104714637734951,0.999975617694874
"ENSG00000279457",-0.321656616049524,0.541961165611023,0.999975617694874
"ENSG00000228463",-0.110980723083782,0.868622908255414,0.999975617694874
"ENSG00000237094",-0.145371115544198,0.861323590582443,0.999975617694874
"MTND1P23",-0.216108161604754,0.673441228910028,0.999975617694874
"MTND2P28",-0.185993928277196,0.669766117375148,0.999975617694874
"MTCO1P12",-1.28142438267369,0.00416042757191201,0.407738281683487
"MTCO2P12",-0.61218972740482,0.143927772793254,0.999975617694874
"MTATP6P1",-0.428944836709725,0.230764285930299,0.999975617694874
"MTCO3P12",-0.607210142082725,0.269490337349583,0.999975617694874
"ENSG00000228327",-0.173679549149966,0.698954640350579,0.999975617694874
"ENSG00000237491",0.191086627153117,0.601763269291911,0.999975617694874
"ENSG00000230092",-0.408614433500024,0.382979060250318,0.999975617694874
"LINC01128",-0.0390200068739648,0.913906083534346,0.999975617694874
"LINC00115",0.66090915352168,0.11372600409453,0.999975617694874
"ENSG00000230699",-0.0325929529198937,0.957381388326214,0.999975617694874
"ENSG00000223764",-0.0666052170483833,0.904999091563069,0.999975617694874
"SAMD11",-0.158623416081751,0.746367388456113,0.999975617694874
"NOC2L",0.0777688550220371,0.773647158226731,0.999975617694874
"KLHL17",-0.332847564081647,0.408710154421531,0.999975617694874
"PLEKHN1",0.300837327887709,0.53892354128923,0.999975617694874
"PERM1",-0.337282592245207,0.536672912239752,0.999975617694874
"ENSG00000272512",-0.312990964241872,0.536273202706491,0.999975617694874
"HES4",0.0509809395643778,0.905655190724829,0.999975617694874
"ISG15",0.0361542179728965,0.946664226495549,0.999975617694874
"AGRN",-0.163635519142787,0.602829421836191,0.999975617694874
"ENSG00000217801",-0.590109422088769,0.366378958520818,0.999975617694874
"RNF223",-0.437206430842533,0.529401570068069,0.999975617694874
"C1orf159",0.217666254271489,0.464246273372795,0.999975617694874
"LINC01342",0.428591101103305,0.525189839360713,0.999975617694874
"MIR429",0.457302382612308,0.475167450799091,0.999975617694874
"ENSG00000272141",0.545880235040768,0.328622440580016,0.999975617694874
"TTLL10",0.537736945938501,0.398343832588932,0.999975617694874
"TNFRSF18",-0.13627009606621,0.763634244457249,0.999975617694874
"TNFRSF4",-0.0998478532952213,0.861255165461463,0.999975617694874
"SDF4",0.245539787848422,0.416385035818661,0.999975617694874
"B3GALT6",-0.105552329273487,0.713341933611347,0.999975617694874
"C1QTNF12",0.0172859074552077,0.980226924018544,0.999975617694874
"ENSG00000260179",0.360366645797214,0.359391810516812,0.999975617694874
"UBE2J2",0.0853884966673244,0.733459120814224,0.999975617694874
"LINC01786",-0.0468374815378523,0.930563002798655,0.999975617694874
"SCNN1D",0.285186342003919,0.52520593268312,0.999975617694874
"ACAP3",0.699141522490945,0.025923942895671,0.804644277433837
"PUSL1",-0.301529602968996,0.396450277383919,0.999975617694874
"INTS11",-0.0372943035145325,0.870294051286428,0.999975617694874
"ENSG00000240731",-0.242271520905437,0.546766361421815,0.999975617694874
"CPTP",-0.363139502437997,0.224509801159507,0.999975617694874
"TAS1R3",-0.112147253887978,0.824509946132828,0.999975617694874
"DVL1",0.0881570619088152,0.775702963691426,0.999975617694874
"MXRA8",-0.711767303547197,0.0907380789202858,0.999975617694874
"AURKAIP1",-0.0799830082367963,0.793267528168605,0.999975617694874
"CCNL2",0.0826402632187209,0.768907243775495,0.999975617694874
"ENSG00000224870",-0.254568775542291,0.351924106031031,0.999975617694874
"MRPL20",-0.441934882381865,0.0317128509335789,0.852514037029783
"ENSG00000272455",-0.722604917203517,0.110093612202707,0.999975617694874
"ANKRD65",-0.0442420426613259,0.92857519811111,0.999975617694874
"LINC01770",-0.633136577079459,0.287758782822688,0.999975617694874
"VWA1",-0.591505492287644,0.15344698947748,0.999975617694874
"ATAD3C",-0.341668824271475,0.381540486530968,0.999975617694874
"ATAD3B",0.0282664632715473,0.918087815652183,0.999975617694874
"ATAD3A",0.149177717508322,0.616764241645955,0.999975617694874
"TMEM240",0.685820766630374,0.0988506244432477,0.999975617694874
"SSU72",0.00797884444172225,0.971942934689646,0.999975617694874
"ENSG00000215014",0.237272249464265,0.482829430094526,0.999975617694874
"FNDC10",-0.240878007983343,0.654113724243649,0.999975617694874
"ENSG00000272106",-0.0398211835724815,0.915533383717806,0.999975617694874
"MIB2",-0.43418577830192,0.212048773466245,0.999975617694874
"MMP23B",0.384646726501208,0.59088606858065,0.999975617694874
"CDK11B",-0.00485209319310093,0.983559753708706,0.999975617694874
"SLC35E2B",0.138847639821392,0.615488809827746,0.999975617694874
"CDK11A",0.285268676070167,0.516133664542336,0.999975617694874
"ENSG00000268575",0.490680270090122,0.233067272387718,0.999975617694874
"SLC35E2",0.0992269630489455,0.805661161128203,0.999975617694874
"NADK",-0.045543929348347,0.893092507866736,0.999975617694874
"GNB1",0.00811238544752134,0.974170550692609,0.999975617694874
"ENSG00000231050",-0.227588779416516,0.692377262674936,0.999975617694874
"CALML6",0.188106884914775,0.736844715296168,0.999975617694874
"TMEM52",0.943327086984916,0.0629544255477166,0.998128755798721
"CFAP74",1.66226353356062,0.0078908917894281,0.527874147476173
"GABRD",-0.206751029324321,0.71024117528567,0.999975617694874
"PRKCZ",0.388059964825699,0.213397599847601,0.999975617694874
"PRKCZ-AS1",-0.339087516855078,0.431543959861956,0.999975617694874
"FAAP20",-0.570447309629172,0.0771182530492772,0.999975617694874
"SKI",-0.0583664218840633,0.831830697201449,0.999975617694874
"MORN1",0.496422300173507,0.183359859153536,0.999975617694874
"ENSG00000269896",0.70590813184463,0.137886324287427,0.999975617694874
"ENSG00000272420",0.485308207828986,0.292324085905322,0.999975617694874
"RER1",-0.18541182364412,0.45498855875831,0.999975617694874
"PEX10",0.0273776054065169,0.897305484072213,0.999975617694874
"PLCH2",-0.146483003773184,0.774394424885079,0.999975617694874
"PANK4",0.08379374135429,0.773546586507774,0.999975617694874
"HES5",-0.386486742984804,0.587527365608798,0.999975617694874
"ENSG00000272449",-0.77041318629455,0.104544843911678,0.999975617694874
"TNFRSF14-AS1",0.163013435183,0.689622128719272,0.999975617694874
"TNFRSF14",-0.0795102845666418,0.754701001307834,0.999975617694874
"ENSG00000225931",-0.304175019174088,0.57087151667442,0.999975617694874
"FAM213B",-0.211246932946705,0.480840988050988,0.999975617694874
"MMEL1",-0.108070344637585,0.85090087431818,0.999975617694874
"TTC34",0.205875229971098,0.622712553049205,0.999975617694874
"LINC00982",-0.425764538076611,0.477443731034762,0.999975617694874
"PRDM16",-0.363932660674379,0.530590501148484,0.999975617694874
"ENSG00000279839",-0.320142870043624,0.622527249542571,0.999975617694874
"ARHGEF16",0.426310025815755,0.33096063749516,0.999975617694874
"MEGF6",0.259740845613909,0.493342842517553,0.999975617694874
"ENSG00000238260",0.476617003921552,0.358787536200281,0.999975617694874
"TPRG1L",-0.213125714392667,0.464066841540333,0.999975617694874
"WRAP73",0.229766947184555,0.381846424212585,0.999975617694874
"TP73",0.794449958335888,0.16754051434591,0.999975617694874
"TP73-AS1",-0.321947848415511,0.295638742357202,0.999975617694874
"SMIM1",-0.0548973889577506,0.916304172508425,0.999975617694874
"LRRC47",-0.383765724167605,0.113873532909424,0.999975617694874
"CEP104",-0.0439832356630866,0.856620336745672,0.999975617694874
"DFFB",-0.103101200324122,0.770302262684808,0.999975617694874
"C1orf174",-0.0606900316574135,0.836231595472213,0.999975617694874
"LINC01134",0.104873996755605,0.834869917995763,0.999975617694874
"AJAP1",0.805516765474985,0.131131016405797,0.999975617694874
"NPHP4",0.288821193374989,0.375562748527522,0.999975617694874
"KCNAB2",-0.0582936839206428,0.864043169460434,0.999975617694874
"CHD5",-0.197654117796004,0.749115965801752,0.999975617694874
"RPL22",-0.0311533040453193,0.919602700153046,0.999975617694874
"RNF207",-0.367555363992255,0.331368986161332,0.999975617694874
"ICMT",-0.277424027132751,0.26701898294055,0.999975617694874
"GPR153",-0.459229962032564,0.197683839596156,0.999975617694874
"ACOT7",-0.132700901379032,0.669767595616747,0.999975617694874
"ENSG00000271746",0.267383319148284,0.516244400797193,0.999975617694874
"HES2",-0.999834381101815,0.120458652152679,0.999975617694874
"ESPN",-0.416058777664018,0.415900050544055,0.999975617694874
"TNFRSF25",-0.0312511508058799,0.933609168815624,0.999975617694874
"PLEKHG5",0.424604768873162,0.185338660784253,0.999975617694874
"NOL9",-0.187656759962117,0.502580061873715,0.999975617694874
"ZBTB48",-0.349394661834059,0.272975200040098,0.999975617694874
"KLHL21",0.0472654405768232,0.900947818166327,0.999975617694874
"PHF13",-0.114617943279078,0.716202485029264,0.999975617694874
"THAP3",-0.00897131368114427,0.974382622117999,0.999975617694874
"DNAJC11",0.0989374905249667,0.477581436001512,0.999975617694874
"CAMTA1",0.0648698749023568,0.783021690676206,0.999975617694874
"ENSG00000269978",0.636475316313287,0.334806423116481,0.999975617694874
"VAMP3",-0.160814667017956,0.578998465191801,0.999975617694874
"ENSG00000269925",-0.131640259215131,0.745194088671028,0.999975617694874
"PER3",-0.0221452845139919,0.948379985891038,0.999975617694874
"UTS2",-1.58171143423412,0.0388574252044576,0.889011376020703
"TNFRSF9",-0.660121725462087,0.180740851558119,0.999975617694874
"PARK7",-0.234887137567416,0.399824379372792,0.999975617694874
"ERRFI1",-0.00181357893583769,0.996699926288035,0.999975617694874
"ENSG00000238290",-0.0105152597113463,0.985363015372873,0.999975617694874
"SLC45A1",-0.113586740198624,0.806748119314244,0.999975617694874
"RERE",0.0670302714689452,0.676164390923886,0.999975617694874
"ENSG00000221083",0.519645390989407,0.25771144229742,0.999975617694874
"RPL7P7",0.448892863465588,0.327318334012843,0.999975617694874
"ENSG00000228423",-0.0395823603209454,0.920058928374922,0.999975617694874
"ENO1",-0.185675754354708,0.556955972196952,0.999975617694874
"ENO1-IT1",-0.459038684954396,0.331030848180812,0.999975617694874
"SLC2A5",0.0977891339009284,0.823186183023271,0.999975617694874
"GPR157",-0.346199229269659,0.338516273083246,0.999975617694874
"MIR34AHG",0.154211825712624,0.685303734606873,0.999975617694874
"LINC01759",0.357864351007522,0.349614144570771,0.999975617694874
"ENSG00000281937",-0.307417362400064,0.5762859094322,0.999975617694874
"H6PD",-0.116316464727952,0.665038322203127,0.999975617694874
"SPSB1",0.0640831065597667,0.877056491152869,0.999975617694874
"SLC25A33",-0.453493045429021,0.224042482274599,0.999975617694874
"ENSG00000231181",-0.0534654902589052,0.890592299195827,0.999975617694874
"TMEM201",0.0227290609465715,0.94287491907977,0.999975617694874
"PIK3CD",-0.0119264030770173,0.967126981476331,0.999975617694874
"PIK3CD-AS1",-2.10276760128377,0.146813476261882,0.999975617694874
"PIK3CD-AS2",-0.300926354727191,0.47908283176393,0.999975617694874
"CLSTN1",-0.00701713770336061,0.970833004896248,0.999975617694874
"ENSG00000280113",0.552225667821042,0.345351848364326,0.999975617694874
