	HCT_WT2	SW837D	R1-1	HCT_WT3	SW837	HCT116	HCT_WT1	SW620	R1-2	R1-3
ENSG00000175756	1073	497	768	2061	2902	1999	1034	2134	1253	1280
ENSG00000223663	0	0	2	3	1	1	2	0	1	0
ENSG00000221978	2201	407	1794	2353	2769	4846	4463	4841	1101	1330
ENSG00000224870	198	91	179	312	607	472	280	748	156	178
ENSG00000242485	801	403	470	1235	1806	1225	683	1521	1016	1022
ENSG00000264293	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	183	23	113	390	131	183	272	243	209	218
ENSG00000235098	0	0	0	1	9	1	0	18	0	0
ENSG00000225905	2	0	1	0	1	0	3	0	0	0
ENSG00000205116	0	0	0	0	8	0	0	5	0	0
ENSG00000225285	0	1	4	6	2	41	10	21	0	0
ENSG00000179403	301	123	379	442	1010	1458	510	1740	304	301
ENSG00000215915	3	10	0	8	52	66	5	93	3	2
ENSG00000160072	1182	683	366	3574	2701	2530	797	2004	1439	1581
ENSG00000197785	699	414	244	2076	1970	2487	473	2396	836	869
ENSG00000205090	12	5	8	27	10	28	20	10	14	10
ENSG00000160075	1919	977	1317	2940	5017	4317	2410	3830	2130	2077
ENSG00000215014	21	4	24	39	31	29	22	14	25	18
ENSG00000274481	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	30	116	30	19	699	196	70	73	16	14
ENSG00000272106	75	28	101	117	174	61	155	116	51	49
ENSG00000197530	283	102	324	422	1093	2377	671	1267	163	230
ENSG00000189409	1	0	0	2	5	36	5	8	0	0
ENSG00000248333	506	225	288	738	1296	1335	632	1203	346	347
ENSG00000272004	7	4	0	14	20	5	16	3	0	3
ENSG00000189339	2013	268	2028	1907	2708	2057	4457	3465	668	819
ENSG00000269737	3	0	0	1	3	0	1	9	0	0
ENSG00000215914	0	0	0	1	6	2	3	1	0	0
ENSG00000008128	20	5	28	35	44	38	21	45	28	30
ENSG00000268575	142	12	79	85	174	148	218	333	29	21
ENSG00000227775	6	1	0	5	11	6	11	6	0	1
ENSG00000215790	168	36	132	115	242	172	401	494	37	33
ENSG00000008130	980	404	537	1444	2363	2799	1126	2326	596	699
ENSG00000078369	5724	2566	4758	5636	13659	12565	7104	14807	4515	4351
ENSG00000231050	13	5	15	24	50	9	39	9	9	10
ENSG00000169885	16	1	12	30	22	23	45	2	5	9
ENSG00000178821	33	22	57	140	111	337	50	49	76	104
ENSG00000142609	8	0	9	2	14	173	12	35	0	2
ENSG00000233542	0	1	0	0	2	7	0	0	0	0
ENSG00000187730	0	0	0	0	18	277	0	5	0	0
ENSG00000226969	5	2	2	17	3	3	0	3	2	1
ENSG00000067606	817	187	984	1010	1806	1394	1365	1435	602	623
ENSG00000271806	0	0	0	0	0	0	1	0	1	0
ENSG00000182873	12	2	1	21	21	51	17	43	13	5
ENSG00000162585	569	120	468	942	906	1189	754	1484	489	495
ENSG00000234396	4	0	1	3	0	4	6	3	0	0
